Cliente;Produto;Quantidade;Valor unitário;Valor final;
Clínica de morro de chapéu;LUVA LATEX P/PROCEDIMENTO TAM P CX  C/100;2;21,00;42,00;
Clínica de morro de chapéu;SACO DE LIXO 40 LT COMUM UND;15;0,17;2,55;
Clínica de morro de chapéu;CANETA DETECTA CEDULAS FALSAS;1;3,49;3,49;
Clínica de morro de chapéu;COPO DESCARTAVEL PP 180ML;10;2,60;26,00;
Clínica de morro de chapéu;DETERGENTE 500 ML;2;2,25;4,50;
Clínica de morro de chapéu;ESPONJA;1;0,90;0,90;
Clínica de morro de chapéu;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;3;17,70;53,10;
Clínica de morro de chapéu;SABAO EM PO;1;6,30;6,30;
Clínica de morro de chapéu;CANETA (AZUL);2;0,99;1,98;
Clínica de morro de chapéu;CAPA (EXAME GINECOLOGICO);200;0,45;90,00;
Clínica de morro de chapéu;PAPEL LENÇOL ROLO 50 MTX50 CM UND;4;11,69;46,76;
Clínica de morro de chapéu;ADESIVOS PARA LAUDO;100;0,08;8,00;
Clínica de morro de chapéu;ESPECULO DESC. T-M;20;2,03;40,60;
Clínica de morro de chapéu;SACO DE LIXO 30 LT INFECTANTE UND;10;0,17;1,70;
Clínica de morro de chapéu;SACO DE LIXO 60 LT INFECTANTE UND;20;0,32;6,40;
Clínica de morro de chapéu;SACO DE LIXO 100 LT INFECTANTE UND;10;0,53;5,30;
Clínica de morro de chapéu;SABONETE LIQUIDO ERVA DOCE 500 ML;2;6,00;12,00;
Clínica de morro de chapéu;AGUA SANITARIA 1 LT;4;1,75;7,00;
Clínica de morro de chapéu;COLETOR DE MAT. PERFURO CORTANTE 03 LT;3;3,99;11,97;
Clínica de morro de chapéu;SACO DE LIXO 60 LT PRETO COMUM UND;10;0,29;2,90;
Clínica de morro de chapéu;BOM AR  AIR WICK DIVERSOS AROMAS;2;11,89;23,78;
Clínica de morro de chapéu;ELETRODO ECG ADULT/INFANTIL PCT C/ 50 - SOLIDOR;5;18,00;90,00;
Clínica de morro de chapéu;MULTIUSO TEIU 500 ML;3;3,00;9,00;
Clínica de morro de chapéu;SABAO EM BARRA YPE;1;15,50;15,50;
Clínica de central;SCALP 23G;50;0,33;16,50;
Clínica de central;AÇUCAR CRISTAL 1KG COD10340;3;3,89;11,67;
Clínica de central;CAFE PURO MOIDO A VACUO 250G PACOTE;9;6,97;62,73;
Clínica de central;COPO DESCARTAVEL PP 180ML;7;2,60;18,20;
Clínica de central;CANETA (AZUL);1;0,99;0,99;
Clínica de central;PRESERVATIVO  MASCULINO SEM LUBRIFICANTE;10;0,37;3,70;
Clínica de central;BLOCOS DE EXAMES;1;18,00;18,00;
Clínica de central;BLOCOS DE ORÇAMENTOS ODONTOLOGICO;1;23,00;23,00;
Clínica de central;ADESIVOS PARA LAUDO;100;0,11;11,00;
Clínica de central;COLETOR UNIVERSAL 80ML;28;0,52;14,56;
Clínica de central;CLIPS 4/0 C 50;1;2,59;2,59;
Clínica de central;CLIPS 6/0 CX 50;1;2,59;2,59;
Clínica de central;XICARA CHA S/PIRES;2;5,99;11,98;
Clínica de central;PAPEL OFICIO A4  UP;4;27,99;111,96;
Clínica de central;GRAMPEADOR JOCAR OFFICE METAL 20,CM CM 30F;1;39,99;39,99;
Clínica de central;ENVELOPE  SACO BRANCO 229X324;5;0,86;4,30;
Clínica filial de Xique Xique;AÇUCAR CRISTAL 1KG COD10340;1;3,89;3,89;
Clínica filial de Xique Xique;CAFE PURO MOIDO A VACUO 250G PACOTE;1;6,97;6,97;
Clínica filial de Xique Xique;COPO DESCARTAVEL PP 180ML;3;2,60;7,80;
Clínica filial de Xique Xique;DESINFETANTE MULTIUSO;1;3,00;3,00;
Clínica filial de Xique Xique;CAPA (EXAME USG);50;1,05;52,50;
Clínica filial de Xique Xique;ADESIVOS PARA LAUDO;100;0,11;11,00;
Clínica filial de Xique Xique;CARBONO FILME AZUL A4 100 FLS;1;0,80;0,80;
Clínica filial de Xique Xique;PEDRA SANITARIA;1;2,10;2,10;
Clínica filial de Xique Xique;APARELHO DE BARBEAR PROBAK 2 LAMINAS;10;1,99;19,90;
